Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,2192.553910530643
1.16e-06,0.875,2192.5548016441635
1.16e-06,1.25,2192.555692757684
1.16e-06,1.625,2192.556583871204
1.16e-06,2.0,2192.557474984724
2.402e-05,0.5,105.89943404375771
2.402e-05,0.875,105.90032515727698
2.402e-05,1.25,105.90121627079628
2.402e-05,1.625,105.90210738431553
2.402e-05,2.0,105.90299849783479
4.6880000000000005e-05,0.5,54.26719874380459
4.6880000000000005e-05,0.875,54.26808985732386
4.6880000000000005e-05,1.25,54.26898097084311
4.6880000000000005e-05,1.625,54.26987208436238
4.6880000000000005e-05,2.0,54.27076319788166
6.973999999999999e-05,0.5,36.48391380109153
6.973999999999999e-05,0.875,36.4848049146108
6.973999999999999e-05,1.25,36.485696028130064
6.973999999999999e-05,1.625,36.48658714164934
6.973999999999999e-05,2.0,36.487478255168604
9.26e-05,0.5,27.480885743700735
9.26e-05,0.875,27.481776857220012
9.26e-05,1.25,27.48266797073928
9.26e-05,1.625,27.483559084258548
9.26e-05,2.0,27.484450197777818
