Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,2192.570659409705
1.16e-06,0.875,2192.576313230672
1.16e-06,1.25,2192.581967051605
1.16e-06,1.625,2192.5876208725645
1.16e-06,2.0,2192.5932746935114
2.402e-05,0.5,105.91618294818261
2.402e-05,0.875,105.92183677223092
2.402e-05,1.25,105.92749059007555
2.402e-05,1.625,105.93314441103017
2.402e-05,2.0,105.93879832099721
4.6880000000000005e-05,0.5,54.283947648813694
4.6880000000000005e-05,0.875,54.289601475920726
4.6880000000000005e-05,1.25,54.29525529070665
4.6880000000000005e-05,1.625,54.30090911166128
4.6880000000000005e-05,2.0,54.30656293171786
6.973999999999999e-05,0.5,36.50066270630189
6.973999999999999e-05,0.875,36.50631653138479
6.973999999999999e-05,1.25,36.51197034819481
6.973999999999999e-05,1.625,36.51762416914944
6.973999999999999e-05,2.0,36.52327798952168
9.26e-05,0.5,27.497634649012962
9.26e-05,0.875,27.503288473071233
9.26e-05,1.25,27.508942290905885
9.26e-05,1.625,27.51459611186051
9.26e-05,2.0,27.52024993239256
