Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,29.87981787389064
1.16e-06,0.875,29.961491689909238
1.16e-06,1.25,30.04316550590661
1.16e-06,1.625,30.124839321919435
1.16e-06,2.0,30.206513137932255
2.402e-05,0.5,1.6304908424134514
2.402e-05,0.875,1.7121646583722894
2.402e-05,1.25,1.7938384743096867
2.402e-05,1.625,1.875512290262703
2.402e-05,2.0,1.9571861062157212
4.6880000000000005e-05,0.5,0.9314887235753924
4.6880000000000005e-05,0.875,1.0131625395342856
4.6880000000000005e-05,1.25,1.0948363554713951
4.6880000000000005e-05,1.625,1.1765101714244162
4.6880000000000005e-05,2.0,1.2581839873774383
6.973999999999999e-05,0.5,0.690736918378042
6.973999999999999e-05,0.875,0.77241073433703
6.973999999999999e-05,1.25,0.8540845502738201
6.973999999999999e-05,1.625,0.9357583662268828
6.973999999999999e-05,2.0,1.0174321821799435
9.26e-05,0.5,0.568853067107755
9.26e-05,0.875,0.650526883066862
9.26e-05,1.25,0.7322006990033089
9.26e-05,1.625,0.8138745149564349
9.26e-05,2.0,0.8955483309095552
