Flow Rate,Reactor cost,LCOW
1.16e-06,1000.0,10.447102456983496
1.16e-06,8444.444444444445,88.17202839033214
1.16e-06,15888.888888888889,165.8969543236808
1.16e-06,23333.333333333332,243.62188025702935
1.16e-06,30777.777777777777,321.34680619037806
1.16e-06,38222.22222222222,399.0717321237266
1.16e-06,45666.666666666664,476.7966580570752
1.16e-06,53111.11111111111,554.521583990424
1.16e-06,60555.555555555555,632.2465099237726
1.16e-06,68000.0,709.9714358571213
2.402e-05,1000.0,0.5106525693723272
2.402e-05,8444.444444444445,4.2642293394304565
2.402e-05,15888.888888888889,8.017806109488346
2.402e-05,23333.333333333332,11.771382879546234
2.402e-05,30777.777777777777,15.524959649604122
2.402e-05,38222.22222222222,19.27853641966201
2.402e-05,45666.666666666664,23.032113189719905
2.402e-05,53111.11111111111,26.785689959777788
2.402e-05,60555.555555555555,30.539266729835674
2.402e-05,68000.0,34.29284349989357
4.6880000000000005e-05,1000.0,0.2647847822400559
4.6880000000000005e-05,8444.444444444445,2.188012470311477
4.6880000000000005e-05,15888.888888888889,4.1112401583828975
4.6880000000000005e-05,23333.333333333332,6.034467846454319
4.6880000000000005e-05,30777.777777777777,7.95769553452574
4.6880000000000005e-05,38222.22222222222,9.880923222597161
4.6880000000000005e-05,45666.666666666664,11.804150910667511
4.6880000000000005e-05,53111.11111111111,13.727378598740007
4.6880000000000005e-05,60555.555555555555,15.650606286810453
4.6880000000000005e-05,68000.0,17.573833974882845
6.973999999999999e-05,1000.0,0.18010247299179002
6.973999999999999e-05,8444.444444444445,1.4729174144411454
6.973999999999999e-05,15888.888888888889,2.7657323558921894
6.973999999999999e-05,23333.333333333332,4.05854729734322
6.973999999999999e-05,30777.777777777777,5.3513622387942466
6.973999999999999e-05,38222.22222222222,6.644177180245272
6.973999999999999e-05,45666.666666666664,7.936992121696297
6.973999999999999e-05,53111.11111111111,9.229807063147318
6.973999999999999e-05,60555.555555555555,10.522622004598343
6.973999999999999e-05,68000.0,11.81543694604937
9.26e-05,1000.0,0.13723091081532832
9.26e-05,8444.444444444445,1.1108908893957397
9.26e-05,15888.888888888889,2.0845508679789484
9.26e-05,23333.333333333332,3.0582108465621247
9.26e-05,30777.777777777777,4.031870825145292
9.26e-05,38222.22222222222,5.005530803728456
9.26e-05,45666.666666666664,5.979190782311616
9.26e-05,53111.11111111111,6.952850760894777
9.26e-05,60555.555555555555,7.926510739477937
9.26e-05,68000.0,8.9001707180611
