Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,29.72631871139285
1.16e-06,0.875,29.73615803226592
1.16e-06,1.25,29.745997353138932
1.16e-06,1.625,29.755836674011928
1.16e-06,2.0,29.76567599488492
2.402e-05,0.5,1.476991680059956
2.402e-05,0.875,1.4868310009257366
2.402e-05,1.25,1.4966703217915176
2.402e-05,1.625,1.5065096426572984
2.402e-05,2.0,1.5163489635230791
4.6880000000000005e-05,0.5,0.7779895612225267
4.6880000000000005e-05,0.875,0.7878288820883143
4.6880000000000005e-05,1.25,0.797668202954102
4.6880000000000005e-05,1.625,0.8075075238198899
4.6880000000000005e-05,2.0,0.8173468446856779
6.973999999999999e-05,0.5,0.5372377560252506
6.973999999999999e-05,0.875,0.54707707689105
6.973999999999999e-05,1.25,0.5569163977568494
6.973999999999999e-05,1.625,0.566755718622649
6.973999999999999e-05,2.0,0.5765950394884486
9.26e-05,0.5,0.4153539047548682
9.26e-05,0.875,0.42519322562068185
9.26e-05,1.25,0.43503254648649575
9.26e-05,1.625,0.4448718673523097
9.26e-05,2.0,0.454711188218124
