Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,29.73091938848167
1.16e-06,0.875,29.73911882254207
1.16e-06,1.25,29.747318256602412
1.16e-06,1.625,29.75551769066273
1.16e-06,2.0,29.763717124723048
2.402e-05,0.5,1.4815923570096137
2.402e-05,0.875,1.489791791063911
2.402e-05,1.25,1.497991225118208
2.402e-05,1.625,1.5061906591725052
2.402e-05,2.0,1.5143900932268022
4.6880000000000005e-05,0.5,0.7825902381690496
4.6880000000000005e-05,0.875,0.7907896722233523
4.6880000000000005e-05,1.25,0.7989891062776551
4.6880000000000005e-05,1.625,0.8071885403319576
4.6880000000000005e-05,2.0,0.8153879743862606
6.973999999999999e-05,0.5,0.5418384329706851
6.973999999999999e-05,0.875,0.550037867024997
6.973999999999999e-05,1.25,0.5582373010793092
6.973999999999999e-05,1.625,0.5664367351336215
6.973999999999999e-05,2.0,0.5746361691879339
9.26e-05,0.5,0.4199545816997432
9.26e-05,0.875,0.4281540157540669
9.26e-05,1.25,0.43635344980839075
9.26e-05,1.625,0.4445528838627148
9.26e-05,2.0,0.45275231791703907
