Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,2192.5704522413657
1.16e-06,0.875,2192.5722972781964
1.16e-06,1.25,2192.574142315026
1.16e-06,1.625,2192.5759873518564
1.16e-06,2.0,2192.5778323886866
2.402e-05,0.5,105.9159757721615
2.402e-05,0.875,105.9178208089901
2.402e-05,1.25,105.91966584581871
2.402e-05,1.625,105.9215108826473
2.402e-05,2.0,105.9233559194759
4.6880000000000005e-05,0.5,54.28374047261572
4.6880000000000005e-05,0.875,54.28558550944431
4.6880000000000005e-05,1.25,54.28743054627292
4.6880000000000005e-05,1.625,54.28927558310153
4.6880000000000005e-05,2.0,54.29112061993012
6.973999999999999e-05,0.5,36.50045553004296
6.973999999999999e-05,0.875,36.50230056687157
6.973999999999999e-05,1.25,36.504145603700174
6.973999999999999e-05,1.625,36.50599064052877
6.973999999999999e-05,2.0,36.50783567735738
9.26e-05,0.5,27.497427472723206
9.26e-05,0.875,27.499272509551805
9.26e-05,1.25,27.501117546380407
9.26e-05,1.625,27.502962583209012
9.26e-05,2.0,27.504807620037617
