Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,2192.5534522496687
1.16e-06,0.875,2192.5555956328826
1.16e-06,1.25,2192.557739016096
1.16e-06,1.625,2192.5598823993096
1.16e-06,2.0,2192.562025782523
2.402e-05,0.5,105.89897577450377
2.402e-05,0.875,105.90111915771561
2.402e-05,1.25,105.90326254092743
2.402e-05,1.625,105.90540592413927
2.402e-05,2.0,105.90754930735112
4.6880000000000005e-05,0.5,54.2667404748205
4.6880000000000005e-05,0.875,54.26888385803233
4.6880000000000005e-05,1.25,54.27102724124418
4.6880000000000005e-05,1.625,54.27317062445601
4.6880000000000005e-05,2.0,54.27531400766785
6.973999999999999e-05,0.5,36.4834555322004
6.973999999999999e-05,0.875,36.48559891541224
6.973999999999999e-05,1.25,36.48774229862408
6.973999999999999e-05,1.625,36.48988568183592
6.973999999999999e-05,2.0,36.49202906504777
9.26e-05,0.5,27.48042747485665
9.26e-05,0.875,27.482570858068488
9.26e-05,1.25,27.48471424128033
9.26e-05,1.625,27.486857624492174
9.26e-05,2.0,27.48900100770401
