Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,29.7057840095537
1.16e-06,0.875,29.709744161746144
1.16e-06,1.25,29.713704313938454
1.16e-06,1.625,29.717664466130724
1.16e-06,2.0,29.721624618322974
2.402e-05,0.5,1.4564569778607606
2.402e-05,0.875,1.4604171300500814
2.402e-05,1.25,1.4643772822394023
2.402e-05,1.625,1.4683374344287232
2.402e-05,2.0,1.4722975866180439
4.6880000000000005e-05,0.5,0.7574548590146789
4.6880000000000005e-05,0.875,0.7614150112040013
4.6880000000000005e-05,1.25,0.7653751633933238
4.6880000000000005e-05,1.625,0.7693353155826462
4.6880000000000005e-05,2.0,0.7732954677719688
6.973999999999999e-05,0.5,0.5167030538144095
6.973999999999999e-05,0.875,0.5206632060037355
6.973999999999999e-05,1.25,0.5246233581930615
6.973999999999999e-05,1.625,0.5285835103823879
6.973999999999999e-05,2.0,0.5325436625717144
9.26e-05,0.5,0.3948192025424994
9.26e-05,0.875,0.3987793547318302
9.26e-05,1.25,0.40273950692116106
9.26e-05,1.625,0.4066996591104923
9.26e-05,2.0,0.41065981129982365
