Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,29.896791592367304
1.16e-06,0.875,29.988934927294988
1.16e-06,1.25,30.08107826220386
1.16e-06,1.625,30.173221597126428
1.16e-06,2.0,30.265364932048996
2.402e-05,0.5,1.6474645609694067
2.402e-05,0.875,1.7396078958296937
2.402e-05,1.25,1.8317512306709685
2.402e-05,1.625,1.9238945655260906
2.402e-05,2.0,2.0160379003812143
4.6880000000000005e-05,0.5,0.9484624421334815
4.6880000000000005e-05,0.875,1.040605776993834
4.6880000000000005e-05,1.25,1.1327491118348887
4.6880000000000005e-05,1.625,1.224892446690027
4.6880000000000005e-05,2.0,1.3170357815451659
6.973999999999999e-05,0.5,0.7077106369368936
6.973999999999999e-05,0.875,0.7998539717973552
6.973999999999999e-05,1.25,0.891997306638192
6.973999999999999e-05,1.625,0.984140641493389
6.973999999999999e-05,2.0,1.0762839763485852
9.26e-05,0.5,0.5858267856670184
9.26e-05,0.875,0.6779701205276164
9.26e-05,1.25,0.7701134553682335
9.26e-05,1.625,0.8622567902235145
9.26e-05,2.0,0.9544001250787918
