Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,2192.5664421780352
1.16e-06,0.875,2192.572820745175
1.16e-06,1.25,2192.579199312285
1.16e-06,1.625,2192.5855778794166
1.16e-06,2.0,2192.591956446532
2.402e-05,0.5,105.91196572328616
2.402e-05,0.875,105.91834430244612
2.402e-05,1.25,105.92472285752707
2.402e-05,1.625,105.9311014246548
2.402e-05,2.0,105.93748008088951
4.6880000000000005e-05,0.5,54.279730424073136
4.6880000000000005e-05,0.875,54.28610899735594
4.6880000000000005e-05,1.25,54.29248755831407
4.6880000000000005e-05,1.625,54.2988661254418
4.6880000000000005e-05,2.0,54.30524469166399
6.973999999999999e-05,0.5,36.496445481614984
6.973999999999999e-05,0.875,36.50282405287371
6.973999999999999e-05,1.25,36.50920261585593
6.973999999999999e-05,1.625,36.515581182983645
6.973999999999999e-05,2.0,36.52195974952148
9.26e-05,0.5,27.493417424353233
9.26e-05,0.875,27.49979599458732
9.26e-05,1.25,27.50617455859417
9.26e-05,1.625,27.51255312572189
9.26e-05,2.0,27.51893169241954
