Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,14.469689930157605
1.16e-06,0.875,14.481256365320924
1.16e-06,1.25,14.492822800761445
1.16e-06,1.625,14.504389236773067
1.16e-06,2.0,14.515955673654098
2.402e-05,0.5,0.7275797363269247
2.402e-05,0.875,0.739146172026889
2.402e-05,1.25,0.7507126077268672
2.402e-05,1.625,0.7622790434268695
2.402e-05,2.0,0.7738454791268885
4.6880000000000005e-05,0.5,0.38754458672470593
4.6880000000000005e-05,0.875,0.39911102242468977
4.6880000000000005e-05,1.25,0.4106774581246734
4.6880000000000005e-05,1.625,0.4222438938246571
4.6880000000000005e-05,2.0,0.43381032952464066
6.973999999999999e-05,0.5,0.27042895303595554
6.973999999999999e-05,0.875,0.28199538873577495
6.973999999999999e-05,1.25,0.29356182443571066
6.973999999999999e-05,1.625,0.3051282601358493
6.973999999999999e-05,2.0,0.31669469583600857
9.26e-05,0.5,0.21113758254641554
9.26e-05,0.875,0.22270401824610997
9.26e-05,1.25,0.23427045394600932
9.26e-05,1.625,0.24583688964626615
9.26e-05,2.0,0.25740332534655846
