Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,30.19393175465656
1.16e-06,0.875,30.421773936882595
1.16e-06,1.25,30.649616119101015
1.16e-06,1.625,30.877458301324985
1.16e-06,2.0,31.10530048354894
2.402e-05,0.5,1.944604723035327
2.402e-05,0.875,2.1724469050947497
2.402e-05,1.25,2.4002890871463625
2.402e-05,1.625,2.628131269203672
2.402e-05,2.0,2.855973451260982
4.6880000000000005e-05,0.5,1.245602604199533
4.6880000000000005e-05,0.875,1.473444786259143
4.6880000000000005e-05,1.25,1.7012869683107201
4.6880000000000005e-05,1.625,1.9291291503681793
4.6880000000000005e-05,2.0,2.1569713324256425
6.973999999999999e-05,0.5,1.4985710364061675
6.973999999999999e-05,0.875,1.7264132184622674
6.973999999999999e-05,1.25,1.9542554005183665
6.973999999999999e-05,1.625,2.182097582574466
6.973999999999999e-05,2.0,2.409939764630565
9.26e-05,0.5,1.2548033338694713
9.26e-05,0.875,1.482645515925574
9.26e-05,1.25,1.7104876979816768
9.26e-05,1.625,1.9383298800377797
9.26e-05,2.0,2.166172062093169
