Flow Rate,Reactor cost,LCOW
1.16e-06,1000.0,11.93167540475243
1.16e-06,8444.444444444445,89.65660173541205
1.16e-06,15888.888888888889,167.3815280660717
1.16e-06,23333.333333333332,245.10645439673132
1.16e-06,30777.777777777777,322.8313807273909
1.16e-06,38222.22222222222,400.55630705805055
1.16e-06,45666.666666666664,478.2812333887102
1.16e-06,53111.11111111111,556.0061597193701
1.16e-06,60555.555555555555,633.7310860500295
1.16e-06,68000.0,711.4560123806892
2.402e-05,1000.0,1.9952254645863685
2.402e-05,8444.444444444445,5.748802252557235
2.402e-05,15888.888888888889,9.5023790405281
2.402e-05,23333.333333333332,13.255955828498966
2.402e-05,30777.777777777777,17.009532616469833
2.402e-05,38222.22222222222,20.763109404440698
2.402e-05,45666.666666666664,24.516686192411562
2.402e-05,53111.11111111111,28.270262980382434
2.402e-05,60555.555555555555,32.0238397683533
2.402e-05,68000.0,35.77741655632416
4.6880000000000005e-05,1000.0,1.7493576762804568
4.6880000000000005e-05,8444.444444444445,3.6725853735299614
4.6880000000000005e-05,15888.888888888889,5.5958130707794655
4.6880000000000005e-05,23333.333333333332,7.51904076802897
4.6880000000000005e-05,30777.777777777777,9.442268465278474
4.6880000000000005e-05,38222.22222222222,11.365496162527975
4.6880000000000005e-05,45666.666666666664,13.288723859777482
4.6880000000000005e-05,53111.11111111111,15.211951557026987
4.6880000000000005e-05,60555.555555555555,17.13517925427649
4.6880000000000005e-05,68000.0,19.058406951525996
6.973999999999999e-05,1000.0,1.8383370760314248
6.973999999999999e-05,8444.444444444445,4.423966971301889
6.973999999999999e-05,15888.888888888889,7.009596866572342
6.973999999999999e-05,23333.333333333332,9.595226761842795
6.973999999999999e-05,30777.777777777777,12.18085665711325
6.973999999999999e-05,38222.22222222222,14.7664865523837
6.973999999999999e-05,45666.666666666664,17.352116447654154
6.973999999999999e-05,53111.11111111111,19.93774634292461
6.973999999999999e-05,60555.555555555555,22.52337623819506
6.973999999999999e-05,68000.0,25.109006133465513
9.26e-05,1000.0,1.7525939512686823
9.26e-05,8444.444444444445,3.699913917749911
9.26e-05,15888.888888888889,5.647233884231128
9.26e-05,23333.333333333332,7.594553850712343
9.26e-05,30777.777777777777,9.541873817193558
9.26e-05,38222.22222222222,11.489193783674772
9.26e-05,45666.666666666664,13.436513750155992
9.26e-05,53111.11111111111,15.383833716637206
9.26e-05,60555.555555555555,17.331153683118416
9.26e-05,68000.0,19.278473649599636
