Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,2192.5889196190333
1.16e-06,0.875,2192.6046918575594
1.16e-06,1.25,2192.620464096071
1.16e-06,1.625,2192.636236334593
1.16e-06,2.0,2192.6520085772167
2.402e-05,0.5,105.93444316381897
2.402e-05,0.875,105.95021541437991
2.402e-05,1.25,105.965987640834
2.402e-05,1.625,105.98175987934444
2.402e-05,2.0,105.9975322074026
4.6880000000000005e-05,0.5,54.30220786459565
4.6880000000000005e-05,0.875,54.31798010927943
4.6880000000000005e-05,1.25,54.33375234161069
4.6880000000000005e-05,1.625,54.34952458012113
4.6880000000000005e-05,2.0,54.3652968176901
6.973999999999999e-05,0.5,36.518922922133974
6.973999999999999e-05,0.875,36.53469516479363
6.973999999999999e-05,1.25,36.55046739914897
6.973999999999999e-05,1.625,36.566239637659415
6.973999999999999e-05,2.0,36.58201187554406
9.26e-05,0.5,27.51589486487042
9.26e-05,0.875,27.531667106505434
9.26e-05,1.25,27.547439341885433
9.26e-05,1.625,27.563211580395876
9.26e-05,2.0,27.578983818440307
