Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,2192.580010063983
1.16e-06,0.875,2192.5889472654007
1.16e-06,1.25,2192.5978844667966
1.16e-06,1.625,2192.6068216682092
1.16e-06,2.0,2192.615758873474
2.402e-05,0.5,105.92553361634077
2.402e-05,0.875,105.93447082978764
2.402e-05,1.25,105.9434080191419
2.402e-05,1.625,105.95234522054764
2.402e-05,2.0,105.96128251127206
4.6880000000000005e-05,0.5,54.293298317291615
4.6880000000000005e-05,0.875,54.30223552486129
4.6880000000000005e-05,1.25,54.31117272009274
4.6880000000000005e-05,1.625,54.32010992149847
4.6880000000000005e-05,2.0,54.3290471219815
6.973999999999999e-05,0.5,36.51001337488988
6.973999999999999e-05,0.875,36.51895058043548
6.973999999999999e-05,1.25,36.527887777691014
6.973999999999999e-05,1.625,36.536824979096764
6.973999999999999e-05,2.0,36.54576217989543
9.26e-05,0.5,27.50698531765671
9.26e-05,0.875,27.51592252217767
9.26e-05,1.25,27.524859720457847
9.26e-05,1.625,27.533796921863583
9.26e-05,2.0,27.542734122822075
