Flow Rate,Reactor cost,LCOW
1.16e-06,1000.0,34.122617732158105
1.16e-06,8444.444444444445,111.84754406281779
1.16e-06,15888.888888888889,189.57247039347737
1.16e-06,23333.333333333332,267.29739672413706
1.16e-06,30777.777777777777,345.0223230547999
1.16e-06,38222.22222222222,422.7472493854564
1.16e-06,45666.666666666664,500.4721757161162
1.16e-06,53111.11111111111,578.1971020467759
1.16e-06,60555.555555555555,655.9220283774355
1.16e-06,68000.0,733.6469547080953
2.402e-05,1000.0,30.236709456312184
2.402e-05,8444.444444444445,79.03320769993361
2.402e-05,15888.888888888889,127.82970594355498
2.402e-05,23333.333333333332,176.62620418717643
2.402e-05,30777.777777777777,225.42270243079787
2.402e-05,38222.22222222222,274.2192006744193
2.402e-05,45666.666666666664,323.0156989180408
2.402e-05,53111.11111111111,371.8121971616622
2.402e-05,60555.555555555555,420.60869540528347
2.402e-05,68000.0,469.40519364890514
4.6880000000000005e-05,1000.0,30.398900455770956
4.6880000000000005e-05,8444.444444444445,80.4028205842583
4.6880000000000005e-05,15888.888888888889,130.4067407127457
4.6880000000000005e-05,23333.333333333332,180.41066084123295
4.6880000000000005e-05,30777.777777777777,230.41458096972042
4.6880000000000005e-05,38222.22222222222,280.4185010982077
4.6880000000000005e-05,45666.666666666664,330.4224212266951
4.6880000000000005e-05,53111.11111111111,380.42634135518256
4.6880000000000005e-05,60555.555555555555,430.43026148366954
4.6880000000000005e-05,68000.0,480.4341816121572
6.973999999999999e-05,1000.0,30.281100917410384
6.973999999999999e-05,8444.444444444445,79.40806892699128
6.973999999999999e-05,15888.888888888889,128.53503693657225
6.973999999999999e-05,23333.333333333332,177.66200494615302
6.973999999999999e-05,30777.777777777777,226.7889729557342
6.973999999999999e-05,38222.22222222222,275.91594096531475
6.973999999999999e-05,45666.666666666664,325.0429089748959
6.973999999999999e-05,53111.11111111111,374.1698769844767
6.973999999999999e-05,60555.555555555555,423.2968449940573
6.973999999999999e-05,68000.0,472.4238130036385
9.26e-05,1000.0,30.221463310948742
9.26e-05,8444.444444444445,78.90446247242662
9.26e-05,15888.888888888889,127.5874616339046
9.26e-05,23333.333333333332,176.2704607953826
9.26e-05,30777.777777777777,224.95345995686026
9.26e-05,38222.22222222222,273.63645911833834
9.26e-05,45666.666666666664,322.3194582798165
9.26e-05,53111.11111111111,371.0024574412943
9.26e-05,60555.555555555555,419.68545660277164
9.26e-05,68000.0,468.36845576424986
