Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,29.72060518223609
1.16e-06,0.875,29.724408323988854
1.16e-06,1.25,29.728211465741484
1.16e-06,1.625,29.732014607494072
1.16e-06,2.0,29.735817749246635
2.402e-05,0.5,1.4712781508383215
2.402e-05,0.875,1.4750812925880747
2.402e-05,1.25,1.4788844343378276
2.402e-05,1.625,1.4826875760875806
2.402e-05,2.0,1.4864907178373337
4.6880000000000005e-05,0.5,0.7722760319992773
4.6880000000000005e-05,0.875,0.7760791737490319
4.6880000000000005e-05,1.25,0.7798823154987864
4.6880000000000005e-05,1.625,0.783685457248541
4.6880000000000005e-05,2.0,0.7874885989982957
6.973999999999999e-05,0.5,0.5315242268014233
6.973999999999999e-05,0.875,0.5353273685511812
6.973999999999999e-05,1.25,0.5391305103009392
6.973999999999999e-05,1.625,0.5429336520506973
6.973999999999999e-05,2.0,0.5467367938004557
9.26e-05,0.5,0.4096403755307284
9.26e-05,0.875,0.4134435172804908
9.26e-05,1.25,0.4172466590302532
9.26e-05,1.625,0.42104980078001614
9.26e-05,2.0,0.42485294252977907
