Flow Rate,Reactor cost,LCOW
1.16e-06,1000.0,10.469284762531556
1.16e-06,8444.444444444445,88.19421069848968
1.16e-06,15888.888888888889,165.91913663183777
1.16e-06,23333.333333333332,243.6440625651858
1.16e-06,30777.777777777777,321.3689884985339
1.16e-06,38222.22222222222,399.0939144318848
1.16e-06,45666.666666666664,476.8188403652301
1.16e-06,53111.11111111111,554.5437662985779
1.16e-06,60555.555555555555,632.2686922319261
1.16e-06,68000.0,709.9936181652741
2.402e-05,1000.0,0.5328348775144599
2.402e-05,8444.444444444445,4.286411647583872
2.402e-05,15888.888888888889,8.039988417656057
2.402e-05,23333.333333333332,11.793565187728369
2.402e-05,30777.777777777777,15.547141957746032
2.402e-05,38222.22222222222,19.30071872787309
2.402e-05,45666.666666666664,23.05429549794547
2.402e-05,53111.11111111111,26.807872268017846
2.402e-05,60555.555555555555,30.561449038090228
2.402e-05,68000.0,34.31502580816261
4.6880000000000005e-05,1000.0,0.2869670903819136
4.6880000000000005e-05,8444.444444444445,2.210194778496743
4.6880000000000005e-05,15888.888888888889,4.1334224665248085
4.6880000000000005e-05,23333.333333333332,6.056650154596227
4.6880000000000005e-05,30777.777777777777,7.979877842667651
4.6880000000000005e-05,38222.22222222222,9.903105530739069
4.6880000000000005e-05,45666.666666666664,11.82633321881049
4.6880000000000005e-05,53111.11111111111,13.749560906881909
4.6880000000000005e-05,60555.555555555555,15.672788594953339
4.6880000000000005e-05,68000.0,17.596016283024763
6.973999999999999e-05,1000.0,0.20228478113443626
6.973999999999999e-05,8444.444444444445,1.495099722680616
6.973999999999999e-05,15888.888888888889,2.7879146642499175
6.973999999999999e-05,23333.333333333332,4.080729605820327
6.973999999999999e-05,30777.777777777777,5.373544547391039
6.973999999999999e-05,38222.22222222222,6.666359488961876
6.973999999999999e-05,45666.666666666664,7.959174430532781
6.973999999999999e-05,53111.11111111111,9.251989371290984
6.973999999999999e-05,60555.555555555555,10.544804313674687
6.973999999999999e-05,68000.0,11.837619254192857
9.26e-05,1000.0,0.15941321895794705
9.26e-05,8444.444444444445,1.1330731977080706
9.26e-05,15888.888888888889,2.1067331764986132
9.26e-05,23333.333333333332,3.080393154707228
9.26e-05,30777.777777777777,4.054053134084138
9.26e-05,38222.22222222222,5.027713112877392
9.26e-05,45666.666666666664,6.001373091670761
9.26e-05,53111.11111111111,6.975033070464362
9.26e-05,60555.555555555555,7.948693049258095
9.26e-05,68000.0,8.922353026205384
