Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,29.98517171038924
1.16e-06,0.875,30.114276496051403
1.16e-06,1.25,30.243381281700138
1.16e-06,1.625,30.372486067358665
1.16e-06,2.0,30.50159085301717
2.402e-05,0.5,1.7358446790231266
2.402e-05,0.875,1.8649494645909057
2.402e-05,1.25,1.9940542501450287
2.402e-05,1.625,2.123159035709109
2.402e-05,2.0,2.25226382127319
4.6880000000000005e-05,0.5,1.0368425601894902
4.6880000000000005e-05,0.875,1.165947345757368
4.6880000000000005e-05,1.25,1.2950521313112597
4.6880000000000005e-05,1.625,1.424156916875394
4.6880000000000005e-05,2.0,1.5532617024395299
6.973999999999999e-05,0.5,0.7960907549937742
6.973999999999999e-05,0.875,0.9251955405618122
6.973999999999999e-05,1.25,1.0543003261154695
6.973999999999999e-05,1.625,1.1834051116797204
6.973999999999999e-05,2.0,1.3125098972439728
9.26e-05,0.5,0.6742069037244156
9.26e-05,0.875,0.8033116892926515
9.26e-05,1.25,0.9324164748460716
9.26e-05,1.625,1.061521260410478
9.26e-05,2.0,1.1906260459748843
