Flow Rate,Reactor cost,LCOW
1.16e-06,1000.0,35.5779914805427
1.16e-06,8444.444444444445,113.30291741451856
1.16e-06,15888.888888888889,191.02784334849304
1.16e-06,23333.333333333332,268.75276928246825
1.16e-06,30777.777777777777,346.4776952164434
1.16e-06,38222.22222222222,424.20262115041845
1.16e-06,45666.666666666664,501.92754708439367
1.16e-06,53111.11111111111,579.6524730183688
1.16e-06,60555.555555555555,657.377398952344
1.16e-06,68000.0,735.1023248863193
2.402e-05,1000.0,32.19629503865133
2.402e-05,8444.444444444445,84.74636981985766
2.402e-05,15888.888888888889,137.296444601064
2.402e-05,23333.333333333332,189.84651938227032
2.402e-05,30777.777777777777,242.39659416347678
2.402e-05,38222.22222222222,294.9466689446829
2.402e-05,45666.666666666664,347.4967437258893
2.402e-05,53111.11111111111,400.04681850709585
2.402e-05,60555.555555555555,452.59689328830206
2.402e-05,68000.0,505.1469680695084
4.6880000000000005e-05,1000.0,32.11261825020322
4.6880000000000005e-05,8444.444444444445,84.0397658285228
4.6880000000000005e-05,15888.888888888889,135.96691340684242
4.6880000000000005e-05,23333.333333333332,187.8940609851621
4.6880000000000005e-05,30777.777777777777,239.82120856348166
4.6880000000000005e-05,38222.22222222222,291.74835614180125
4.6880000000000005e-05,45666.666666666664,343.67550372012056
4.6880000000000005e-05,53111.11111111111,395.6026512984406
4.6880000000000005e-05,60555.555555555555,447.52979887676025
4.6880000000000005e-05,68000.0,499.45694645507945
6.973999999999999e-05,1000.0,32.08379811171015
6.973999999999999e-05,8444.444444444445,83.79639577013705
6.973999999999999e-05,15888.888888888889,135.50899342856408
6.973999999999999e-05,23333.333333333332,187.22159108699097
6.973999999999999e-05,30777.777777777777,238.93418874541788
6.973999999999999e-05,38222.22222222222,290.64678640384494
6.973999999999999e-05,45666.666666666664,342.35938406227206
6.973999999999999e-05,53111.11111111111,394.07198172069894
6.973999999999999e-05,60555.555555555555,445.78457937912543
6.973999999999999e-05,68000.0,497.49717703755226
9.26e-05,1000.0,32.06920752755728
9.26e-05,8444.444444444445,83.67318639284638
9.26e-05,15888.888888888889,135.2771652581355
9.26e-05,23333.333333333332,186.88114412342455
9.26e-05,30777.777777777777,238.48512298871387
9.26e-05,38222.22222222222,290.0891018540027
9.26e-05,45666.666666666664,341.6930807192914
9.26e-05,53111.11111111111,393.29705958458067
9.26e-05,60555.555555555555,444.90103844987067
9.26e-05,68000.0,496.5050173151592
