# Flow Rate,Lamp Replacement Factor,LCOW,Specific Energy Consumption
1.890000e+00,5.000000e-01,5.607057e-01,3.754714e-01
1.890000e+00,6.666667e-01,6.264539e-01,3.754714e-01
1.890000e+00,8.333333e-01,6.922021e-01,3.754714e-01
1.890000e+00,1.000000e+00,7.579503e-01,3.754714e-01
1.890000e+00,1.166667e+00,8.236985e-01,3.754714e-01
1.890000e+00,1.333333e+00,8.894466e-01,3.754714e-01
1.890000e+00,1.500000e+00,9.551948e-01,3.754714e-01
1.890000e+00,1.666667e+00,1.020943e+00,3.754714e-01
1.890000e+00,1.833333e+00,1.086691e+00,3.754714e-01
1.890000e+00,2.000000e+00,1.152439e+00,3.754714e-01
2.381111e+00,5.000000e-01,4.934477e-01,2.980293e-01
2.381111e+00,6.666667e-01,5.456352e-01,2.980293e-01
2.381111e+00,8.333333e-01,5.978226e-01,2.980293e-01
2.381111e+00,1.000000e+00,6.500100e-01,2.980293e-01
2.381111e+00,1.166667e+00,7.021975e-01,2.980293e-01
2.381111e+00,1.333333e+00,7.543849e-01,2.980293e-01
2.381111e+00,1.500000e+00,8.065723e-01,2.980293e-01
2.381111e+00,1.666667e+00,8.587597e-01,2.980293e-01
2.381111e+00,1.833333e+00,9.109472e-01,2.980293e-01
2.381111e+00,2.000000e+00,9.631346e-01,2.980293e-01
2.872222e+00,5.000000e-01,4.491902e-01,2.470703e-01
2.872222e+00,6.666667e-01,4.924542e-01,2.470703e-01
2.872222e+00,8.333333e-01,5.357183e-01,2.470703e-01
2.872222e+00,1.000000e+00,5.789824e-01,2.470703e-01
2.872222e+00,1.166667e+00,6.222465e-01,2.470703e-01
2.872222e+00,1.333333e+00,6.655106e-01,2.470703e-01
2.872222e+00,1.500000e+00,7.087747e-01,2.470703e-01
2.872222e+00,1.666667e+00,7.520388e-01,2.470703e-01
2.872222e+00,1.833333e+00,7.953028e-01,2.470703e-01
2.872222e+00,2.000000e+00,8.385669e-01,2.470703e-01
3.363333e+00,5.000000e-01,4.178575e-01,2.109933e-01
3.363333e+00,6.666667e-01,4.548042e-01,2.109933e-01
3.363333e+00,8.333333e-01,4.917509e-01,2.109933e-01
3.363333e+00,1.000000e+00,5.286976e-01,2.109933e-01
3.363333e+00,1.166667e+00,5.656443e-01,2.109933e-01
3.363333e+00,1.333333e+00,6.025910e-01,2.109933e-01
3.363333e+00,1.500000e+00,6.395377e-01,2.109933e-01
3.363333e+00,1.666667e+00,6.764844e-01,2.109933e-01
3.363333e+00,1.833333e+00,7.134311e-01,2.109933e-01
3.363333e+00,2.000000e+00,7.503778e-01,2.109933e-01
3.854444e+00,5.000000e-01,3.945093e-01,1.841098e-01
3.854444e+00,6.666667e-01,4.267484e-01,1.841098e-01
3.854444e+00,8.333333e-01,4.589876e-01,1.841098e-01
3.854444e+00,1.000000e+00,4.912268e-01,1.841098e-01
3.854444e+00,1.166667e+00,5.234659e-01,1.841098e-01
3.854444e+00,1.333333e+00,5.557051e-01,1.841098e-01
3.854444e+00,1.500000e+00,5.879443e-01,1.841098e-01
3.854444e+00,1.666667e+00,6.201834e-01,1.841098e-01
3.854444e+00,1.833333e+00,6.524226e-01,1.841098e-01
3.854444e+00,2.000000e+00,6.846618e-01,1.841098e-01
4.345556e+00,5.000000e-01,3.764384e-01,1.633027e-01
4.345556e+00,6.666667e-01,4.050341e-01,1.633027e-01
4.345556e+00,8.333333e-01,4.336298e-01,1.633027e-01
4.345556e+00,1.000000e+00,4.622254e-01,1.633027e-01
4.345556e+00,1.166667e+00,4.908211e-01,1.633027e-01
4.345556e+00,1.333333e+00,5.194168e-01,1.633027e-01
4.345556e+00,1.500000e+00,5.480125e-01,1.633027e-01
4.345556e+00,1.666667e+00,5.766081e-01,1.633027e-01
4.345556e+00,1.833333e+00,6.052038e-01,1.633027e-01
4.345556e+00,2.000000e+00,6.337995e-01,1.633027e-01
4.836667e+00,5.000000e-01,3.620374e-01,1.467211e-01
4.836667e+00,6.666667e-01,3.877295e-01,1.467211e-01
4.836667e+00,8.333333e-01,4.134216e-01,1.467211e-01
4.836667e+00,1.000000e+00,4.391137e-01,1.467211e-01
4.836667e+00,1.166667e+00,4.648058e-01,1.467211e-01
4.836667e+00,1.333333e+00,4.904978e-01,1.467211e-01
4.836667e+00,1.500000e+00,5.161899e-01,1.467211e-01
4.836667e+00,1.666667e+00,5.418820e-01,1.467211e-01
4.836667e+00,1.833333e+00,5.675741e-01,1.467211e-01
4.836667e+00,2.000000e+00,5.932662e-01,1.467211e-01
5.327778e+00,5.000000e-01,3.502913e-01,1.331964e-01
5.327778e+00,6.666667e-01,3.736151e-01,1.331964e-01
5.327778e+00,8.333333e-01,3.969389e-01,1.331964e-01
