# Flow Rate,Lamp Replacement Factor,LCOW,Specific Energy Consumption
1.890000e+00,5.000000e-01,2.371855e-01,3.964605e-01
1.890000e+00,6.666667e-01,2.581240e-01,3.964605e-01
1.890000e+00,8.333333e-01,2.790624e-01,3.964605e-01
1.890000e+00,1.000000e+00,3.000009e-01,3.964605e-01
1.890000e+00,1.166667e+00,3.209393e-01,3.964605e-01
1.890000e+00,1.333333e+00,3.418778e-01,3.964605e-01
1.890000e+00,1.500000e+00,3.628163e-01,3.964605e-01
1.890000e+00,1.666667e+00,3.837547e-01,3.964605e-01
1.890000e+00,1.833333e+00,4.046932e-01,3.964605e-01
1.890000e+00,2.000000e+00,4.256316e-01,3.964605e-01
2.381111e+00,5.000000e-01,2.117686e-01,3.146893e-01
2.381111e+00,6.666667e-01,2.283885e-01,3.146893e-01
2.381111e+00,8.333333e-01,2.450083e-01,3.146893e-01
2.381111e+00,1.000000e+00,2.616282e-01,3.146893e-01
2.381111e+00,1.166667e+00,2.782480e-01,3.146893e-01
2.381111e+00,1.333333e+00,2.948678e-01,3.146893e-01
2.381111e+00,1.500000e+00,3.114877e-01,3.146893e-01
2.381111e+00,1.666667e+00,3.281075e-01,3.146893e-01
2.381111e+00,1.833333e+00,3.447274e-01,3.146893e-01
2.381111e+00,2.000000e+00,3.613472e-01,3.146893e-01
2.872222e+00,5.000000e-01,1.950436e-01,2.608817e-01
2.872222e+00,6.666667e-01,2.088217e-01,2.608817e-01
2.872222e+00,8.333333e-01,2.225998e-01,2.608817e-01
2.872222e+00,1.000000e+00,2.363779e-01,2.608817e-01
2.872222e+00,1.166667e+00,2.501559e-01,2.608817e-01
2.872222e+00,1.333333e+00,2.639340e-01,2.608817e-01
2.872222e+00,1.500000e+00,2.777121e-01,2.608817e-01
2.872222e+00,1.666667e+00,2.914901e-01,2.608817e-01
2.872222e+00,1.833333e+00,3.052682e-01,2.608817e-01
2.872222e+00,2.000000e+00,3.190463e-01,2.608817e-01
3.363333e+00,5.000000e-01,1.832030e-01,2.227880e-01
3.363333e+00,6.666667e-01,1.949692e-01,2.227880e-01
3.363333e+00,8.333333e-01,2.067354e-01,2.227880e-01
3.363333e+00,1.000000e+00,2.185016e-01,2.227880e-01
3.363333e+00,1.166667e+00,2.302678e-01,2.227880e-01
3.363333e+00,1.333333e+00,2.420340e-01,2.227880e-01
3.363333e+00,1.500000e+00,2.538002e-01,2.227880e-01
3.363333e+00,1.666667e+00,2.655665e-01,2.227880e-01
3.363333e+00,1.833333e+00,2.773327e-01,2.227880e-01
3.363333e+00,2.000000e+00,2.890989e-01,2.227880e-01
3.854444e+00,5.000000e-01,1.743797e-01,1.944016e-01
3.854444e+00,6.666667e-01,1.846467e-01,1.944016e-01
3.854444e+00,8.333333e-01,1.949137e-01,1.944016e-01
3.854444e+00,1.000000e+00,2.051808e-01,1.944016e-01
3.854444e+00,1.166667e+00,2.154478e-01,1.944016e-01
3.854444e+00,1.333333e+00,2.257148e-01,1.944016e-01
3.854444e+00,1.500000e+00,2.359818e-01,1.944016e-01
3.854444e+00,1.666667e+00,2.462489e-01,1.944016e-01
3.854444e+00,1.833333e+00,2.565159e-01,1.944016e-01
3.854444e+00,2.000000e+00,2.667829e-01,1.944016e-01
4.345556e+00,5.000000e-01,1.675507e-01,1.724314e-01
4.345556e+00,6.666667e-01,1.766574e-01,1.724314e-01
4.345556e+00,8.333333e-01,1.857641e-01,1.724314e-01
4.345556e+00,1.000000e+00,1.948708e-01,1.724314e-01
4.345556e+00,1.166667e+00,2.039775e-01,1.724314e-01
4.345556e+00,1.333333e+00,2.130842e-01,1.724314e-01
4.345556e+00,1.500000e+00,2.221909e-01,1.724314e-01
4.345556e+00,1.666667e+00,2.312976e-01,1.724314e-01
4.345556e+00,1.833333e+00,2.404043e-01,1.724314e-01
4.345556e+00,2.000000e+00,2.495110e-01,1.724314e-01
4.836667e+00,5.000000e-01,1.621085e-01,1.549229e-01
4.836667e+00,6.666667e-01,1.702905e-01,1.549229e-01
4.836667e+00,8.333333e-01,1.784725e-01,1.549229e-01
4.836667e+00,1.000000e+00,1.866546e-01,1.549229e-01
4.836667e+00,1.166667e+00,1.948366e-01,1.549229e-01
4.836667e+00,1.333333e+00,2.030186e-01,1.549229e-01
4.836667e+00,1.500000e+00,2.112006e-01,1.549229e-01
4.836667e+00,1.666667e+00,2.193826e-01,1.549229e-01
4.836667e+00,1.833333e+00,2.275646e-01,1.549229e-01
4.836667e+00,2.000000e+00,2.357467e-01,1.549229e-01
5.327778e+00,5.000000e-01,1.576696e-01,1.406422e-01
5.327778e+00,6.666667e-01,1.650975e-01,1.406422e-01
5.327778e+00,8.333333e-01,1.725253e-01,1.406422e-01
5.327778e+00,1.000000e+00,1.799531e-01,1.406422e-01
5.327778e+00,1.166667e+00,1.873809e-01,1.406422e-01
5.327778e+00,1.333333e+00,1.948087e-01,1.406422e-01
5.327778e+00,1.500000e+00,2.022365e-01,1.406422e-01
5.327778e+00,1.666667e+00,2.096643e-01,1.406422e-01
5.327778e+00,1.833333e+00,2.170921e-01,1.406422e-01
5.327778e+00,2.000000e+00,2.245199e-01,1.406422e-01
5.818889e+00,5.000000e-01,1.539801e-01,1.287721e-01
