# Flow Rate,Lamp Replacement Factor,LCOW,Specific Energy Consumption
1.890000e+00,5.000000e-01,3.204033e-01,2.145551e-01
1.890000e+00,6.666667e-01,3.579737e-01,2.145551e-01
1.890000e+00,8.333333e-01,3.955440e-01,2.145551e-01
1.890000e+00,1.000000e+00,4.331144e-01,2.145551e-01
1.890000e+00,1.166667e+00,4.706848e-01,2.145551e-01
1.890000e+00,1.333333e+00,5.082552e-01,2.145551e-01
1.890000e+00,1.500000e+00,5.458256e-01,2.145551e-01
1.890000e+00,1.666667e+00,5.833960e-01,2.145551e-01
1.890000e+00,1.833333e+00,6.209664e-01,2.145551e-01
1.890000e+00,2.000000e+00,6.585368e-01,2.145551e-01
2.381111e+00,5.000000e-01,2.819701e-01,1.703025e-01
2.381111e+00,6.666667e-01,3.117915e-01,1.703025e-01
2.381111e+00,8.333333e-01,3.416129e-01,1.703025e-01
2.381111e+00,1.000000e+00,3.714343e-01,1.703025e-01
2.381111e+00,1.166667e+00,4.012557e-01,1.703025e-01
2.381111e+00,1.333333e+00,4.310771e-01,1.703025e-01
2.381111e+00,1.500000e+00,4.608985e-01,1.703025e-01
2.381111e+00,1.666667e+00,4.907199e-01,1.703025e-01
2.381111e+00,1.833333e+00,5.205412e-01,1.703025e-01
2.381111e+00,2.000000e+00,5.503626e-01,1.703025e-01
2.872222e+00,5.000000e-01,2.566801e-01,1.411831e-01
2.872222e+00,6.666667e-01,2.814024e-01,1.411831e-01
2.872222e+00,8.333333e-01,3.061248e-01,1.411831e-01
2.872222e+00,1.000000e+00,3.308471e-01,1.411831e-01
2.872222e+00,1.166667e+00,3.555694e-01,1.411831e-01
2.872222e+00,1.333333e+00,3.802918e-01,1.411831e-01
2.872222e+00,1.500000e+00,4.050141e-01,1.411831e-01
2.872222e+00,1.666667e+00,4.297364e-01,1.411831e-01
2.872222e+00,1.833333e+00,4.544588e-01,1.411831e-01
2.872222e+00,2.000000e+00,4.791811e-01,1.411831e-01
3.363333e+00,5.000000e-01,2.387757e-01,1.205676e-01
3.363333e+00,6.666667e-01,2.598881e-01,1.205676e-01
3.363333e+00,8.333333e-01,2.810005e-01,1.205676e-01
3.363333e+00,1.000000e+00,3.021129e-01,1.205676e-01
3.363333e+00,1.166667e+00,3.232253e-01,1.205676e-01
3.363333e+00,1.333333e+00,3.443377e-01,1.205676e-01
3.363333e+00,1.500000e+00,3.654501e-01,1.205676e-01
3.363333e+00,1.666667e+00,3.865625e-01,1.205676e-01
3.363333e+00,1.833333e+00,4.076749e-01,1.205676e-01
3.363333e+00,2.000000e+00,4.287873e-01,1.205676e-01
3.854444e+00,5.000000e-01,2.254339e-01,1.052056e-01
3.854444e+00,6.666667e-01,2.438563e-01,1.052056e-01
3.854444e+00,8.333333e-01,2.622786e-01,1.052056e-01
3.854444e+00,1.000000e+00,2.807010e-01,1.052056e-01
3.854444e+00,1.166667e+00,2.991234e-01,1.052056e-01
3.854444e+00,1.333333e+00,3.175458e-01,1.052056e-01
3.854444e+00,1.500000e+00,3.359682e-01,1.052056e-01
3.854444e+00,1.666667e+00,3.543905e-01,1.052056e-01
3.854444e+00,1.833333e+00,3.728129e-01,1.052056e-01
3.854444e+00,2.000000e+00,3.912353e-01,1.052056e-01
4.345556e+00,5.000000e-01,2.151077e-01,9.331583e-02
4.345556e+00,6.666667e-01,2.314481e-01,9.331583e-02
4.345556e+00,8.333333e-01,2.477884e-01,9.331583e-02
4.345556e+00,1.000000e+00,2.641288e-01,9.331583e-02
4.345556e+00,1.166667e+00,2.804692e-01,9.331583e-02
4.345556e+00,1.333333e+00,2.968096e-01,9.331583e-02
4.345556e+00,1.500000e+00,3.131500e-01,9.331583e-02
4.345556e+00,1.666667e+00,3.294904e-01,9.331583e-02
4.345556e+00,1.833333e+00,3.458307e-01,9.331583e-02
4.345556e+00,2.000000e+00,3.621711e-01,9.331583e-02
4.836667e+00,5.000000e-01,2.068785e-01,8.384062e-02
4.836667e+00,6.666667e-01,2.215597e-01,8.384062e-02
4.836667e+00,8.333333e-01,2.362409e-01,8.384062e-02
4.836667e+00,1.000000e+00,2.509221e-01,8.384062e-02
4.836667e+00,1.166667e+00,2.656033e-01,8.384062e-02
4.836667e+00,1.333333e+00,2.802845e-01,8.384062e-02
4.836667e+00,1.500000e+00,2.949657e-01,8.384062e-02
4.836667e+00,1.666667e+00,3.096469e-01,8.384062e-02
4.836667e+00,1.833333e+00,3.243281e-01,8.384062e-02
4.836667e+00,2.000000e+00,3.390093e-01,8.384062e-02
5.327778e+00,5.000000e-01,2.001665e-01,7.611224e-02
5.327778e+00,6.666667e-01,2.134944e-01,7.611224e-02
5.327778e+00,8.333333e-01,2.268222e-01,7.611224e-02
5.327778e+00,1.000000e+00,2.401501e-01,7.611224e-02
5.327778e+00,1.166667e+00,2.534780e-01,7.611224e-02
5.327778e+00,1.333333e+00,2.668059e-01,7.611224e-02
5.327778e+00,1.500000e+00,2.801338e-01,7.611224e-02
5.327778e+00,1.666667e+00,2.934617e-01,7.611224e-02
5.327778e+00,1.833333e+00,3.067896e-01,7.611224e-02
5.327778e+00,2.000000e+00,3.201175e-01,7.611224e-02
5.818889e+00,5.000000e-01,1.945874e-01,6.968841e-02
5.818889e+00,6.666667e-01,2.067904e-01,6.968841e-02
5.818889e+00,8.333333e-01,2.189935e-01,6.968841e-02
5.818889e+00,1.000000e+00,2.311965e-01,6.968841e-02
5.818889e+00,1.166667e+00,2.433995e-01,6.968841e-02
5.818889e+00,1.333333e+00,2.556025e-01,6.968841e-02
5.818889e+00,1.500000e+00,2.678055e-01,6.968841e-02
5.818889e+00,1.666667e+00,2.800086e-01,6.968841e-02
5.818889e+00,1.833333e+00,2.922116e-01,6.968841e-02
5.818889e+00,2.000000e+00,3.044146e-01,6.968841e-02
6.310000e+00,5.000000e-01,1.898768e-01,6.426452e-02
6.310000e+00,6.666667e-01,2.011300e-01,6.426452e-02
6.310000e+00,8.333333e-01,2.123833e-01,6.426452e-02
6.310000e+00,1.000000e+00,2.236366e-01,6.426452e-02
6.310000e+00,1.166667e+00,2.348898e-01,6.426452e-02
6.310000e+00,1.333333e+00,2.461431e-01,6.426452e-02
6.310000e+00,1.500000e+00,2.573963e-01,6.426452e-02
6.310000e+00,1.666667e+00,2.686496e-01,6.426452e-02
6.310000e+00,1.833333e+00,2.799028e-01,6.426452e-02
6.310000e+00,2.000000e+00,2.911561e-01,6.426452e-02
